BEGIN STREAM 0
Template: query96.tpl
	__LIMITA.01 = 
	COUNTYNUMBER.02 = 1
	COUNTYNUMBER.03 = 1
	COUNTYNUMBER.04 = 1
	COUNTYNUMBER.05 = 1
	STATE.01 = ID
	MONTH.01 = 5
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query10.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2002
	MONTH.01 = 3
	COUNTY.01 = Clinton County
	COUNTY.02 = Platte County
	COUNTY.03 = Franklin County
	COUNTY.04 = Louisa County
	COUNTY.05 = Harmon County
	COUNTY.06 = Montgomery County
	COUNTY.07 = Mahoning County
	COUNTY.08 = Harper County
	COUNTY.09 = Santa Cruz County
	COUNTY.10 = Rawlins County
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query63.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1181
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query69.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE.01 = IN
	STATE.02 = VA
	STATE.03 = MS
	YEAR.01 = 2002
	MONTH.01 = 2
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query60.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CATEGORY.01 = Shoes
	GMT.01 = -6
	MONTH.01 = 10
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query59.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1206
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query37.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	PRICE.01 = 26
	MANUFACT_ID.01 = 744
	MANUFACT_ID.02 = 884
	MANUFACT_ID.03 = 722
	MANUFACT_ID.04 = 693
	INVDATE.01 = 2001-06-09
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query98.tpl
	__LIMITA.01 = 
	_END.01 = 
	CATEGORY.01 = Shoes
	CATEGORY.02 = Music
	CATEGORY.03 = Men
	SDATE.01 = 2000-01-05
	YEAR.01 = 2000
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query85.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2001
	STATE.01 = SC
	STATE.02 = IN
	STATE.03 = VA
	STATE.04 = WA
	STATE.05 = KS
	STATE.06 = KY
	STATE.07 = SD
	STATE.08 = WI
	STATE.09 = NE
	ES.01 = Primary
	ES.02 = Unknown
	ES.03 = Advanced Degree
	MS.01 = D
	MS.02 = U
	MS.03 = M
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query70.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1180
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query67.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1194
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query28.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	WHOLESALECOST.01 = 33
	WHOLESALECOST.02 = 45
	WHOLESALECOST.03 = 24
	WHOLESALECOST.04 = 46
	WHOLESALECOST.05 = 50
	WHOLESALECOST.06 = 58
	COUPONAMT.01 = 12573
	COUPONAMT.02 = 5562
	COUPONAMT.03 = 2807
	COUPONAMT.04 = 3706
	COUPONAMT.05 = 2096
	COUPONAMT.06 = 10672
	LISTPRICE.01 = 28
	LISTPRICE.02 = 143
	LISTPRICE.03 = 159
	LISTPRICE.04 = 24
	LISTPRICE.05 = 76
	LISTPRICE.06 = 169
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query81.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 1998
	STATE.01 = TX
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query97.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1211
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query66.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SALESTWO.01 = cs_sales_price
	SALESONE.01 = ws_ext_list_price
	NETTWO.01 = cs_net_paid
	NETONE.01 = ws_net_profit
	SMC.01 = FEDEX
	SMC.02 = GERMA
	TIMEONE.01 = 19072
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query90.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	HOUR_PM.01 = 15
	HOUR_AM.01 = 9
	DEPCNT.01 = 2
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query17.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 1999
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query47.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	ORDERBY.01 = nsum
	SELECTTWO.01 = ,v1.d_year
	SELECTONE.01 = v1.i_category, v1.i_brand, v1.s_store_name, v1.s_company_name
	_LIMIT.01 = 100
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query95.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	STATE.01 = MA
	MONTH.01 = 5
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query92.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	WSDATE.01 = 2001-01-25
	YEAR.01 = 2001
	IMID.01 = 914
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query3.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 1998
	_LIMIT.01 = 100
	MANUFACT.01 = 48
	MONTH.01 = 12
	AGGC.01 = ss_net_profit
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query51.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1178
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query35.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	AGGTHREE.01 = stddev_samp
	AGGTWO.01 = max
	AGGONE.01 = min
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query49.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MONTH.01 = 11
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query9.tpl
	__LIMITA.01 = 
	_END.01 = 
	YEAR.01 = 2000
	RC.01 = 31000
	RC.02 = 4078
	RC.03 = 28395
	RC.04 = 12716
	RC.05 = 41806
	AGGCELSE.01 = ss_net_paid
	AGGCTHEN.01 = ss_ext_tax
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query31.tpl
	__LIMITA.01 = 
	_END.01 = 
	AGG.01 = store_q1_q2_increase
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query11.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	SELECTONE.01 = t_s_secyear.customer_email_address
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query93.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	REASON.01 = reason 55
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query29.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	AGG.01 = min
	MONTH.01 = 4
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query38.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	DMS.01 = 1217
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query22.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	DMS.01 = 1212
	_LIMIT.01 = 100
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query89.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	CLASS_F.01 = athletic
	CAT_F.01 = Shoes
	CLASS_E.01 = memory
	CAT_E.01 = Electronics
	CLASS_D.01 = athletic shoes
	CAT_D.01 = Sports
	CLASS_C.01 = infants
	CAT_C.01 = Children
	CLASS_B.01 = self-help
	CAT_B.01 = Books
	CLASS_A.01 = sports-apparel
	CAT_A.01 = Men
	IDX.01 = 2
	IDX.02 = 9
	IDX.03 = 3
	IDX.04 = 8
	IDX.05 = 10
	IDX.06 = 4
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query15.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	QOY.01 = 1
	YEAR.01 = 1998
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query6.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MONTH.01 = 7
	YEAR.01 = 2001
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query52.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 2000
	MONTH.01 = 12
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query50.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MONTH.01 = 8
	YEAR.01 = 2002
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query42.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	YEAR.01 = 1999
	MONTH.01 = 12
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query41.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	MANUFACT.01 = 814
	SIZE.01 = medium
	SIZE.02 = extra large
	SIZE.03 = petite
	SIZE.04 = N/A
	SIZE.05 = large
	SIZE.06 = economy
	UNIT.01 = Gram
	UNIT.02 = Case
	UNIT.03 = Lb
	UNIT.04 = Pallet
	UNIT.05 = Box
	UNIT.06 = Oz
	UNIT.07 = Bundle
	UNIT.08 = Unknown
	UNIT.09 = Gross
	UNIT.10 = Dram
	UNIT.11 = Bunch
	UNIT.12 = Cup
	UNIT.13 = Tbl
	UNIT.14 = N/A
	UNIT.15 = Pound
	UNIT.16 = Ounce
	COLOR.01 = midnight
	COLOR.02 = light
	COLOR.03 = lavender
	COLOR.04 = green
	COLOR.05 = pale
	COLOR.06 = burlywood
	COLOR.07 = antique
	COLOR.08 = pink
	COLOR.09 = drab
	COLOR.10 = deep
	COLOR.11 = lace
	COLOR.12 = steel
	COLOR.13 = cornsilk
	COLOR.14 = saddle
	COLOR.15 = chiffon
	COLOR.16 = yellow
	__LIMITC.01 = limit %d
	__LIMITB.01 = 

Template: query8.tpl
	__LIMITA.01 = 
	_LIMITC.01 = limit 100
	_LIMITB.01 = 
	_LIMITA.01 = 
	_END.01 = 
	_LIMIT.01 = 100
	ZIP.01 = 51640
	ZIP.02 = 49699
	ZIP.03 = 82312
	ZIP.04 = 80032
	ZIP.05 = 12897
	ZIP.06 = 55984
	ZIP.07 = 54530
	ZIP.08 = 67535
	ZIP.09 = 49118
	ZIP.10 = 18601
	ZIP.11 = 16733
	ZIP.12 = 42639
	ZIP.13 = 51878
	ZIP.14 = 47815
	ZIP.15 = 21587
	ZIP.16 = 31819
	ZIP.17 = 31903
	ZIP.18 = 28863
	ZIP.19 = 81398
	ZIP.20 = 44142
	ZIP.21 = 45114
	ZIP.22 = 40302
	ZIP.23 = 44881
	ZIP.24 = 82058
	ZIP.25 = 83753
	ZIP.26 = 59162
	ZIP.27 = 37146
	ZIP.28 = 46398
	ZIP.29 = 43280
	ZIP.30 = 55117
	ZIP.31 = 43670
	ZIP.32 = 36519
	ZIP.33 = 77935
	ZIP.34 = 13015
	ZIP.35 = 27934
	ZIP.36 = 42764
	ZIP.37 = 59231
	ZIP.38 = 42501
	ZIP.39 = 93402
	ZIP.40 = 21137
	ZIP.41 = 13932
	ZIP.42 = 74268
	ZIP.43 = 95425
	ZIP.44 = 75005
	ZIP.45 = 57183
	ZIP.46 = 15529
	ZIP.47 = 12967
	ZIP.48 = 21677
	ZIP.49 = 30728
	ZIP.50 = 23765
	ZIP.51 = 27293
	ZIP.52 = 41852
	ZIP.53 = 68798
	ZIP.54 = 48571
	ZIP.55 = 57104
	ZIP.56 = 44853
	ZIP.57 = 18359
	ZIP.58 = 14429
	ZIP.59 = 54090
	ZIP.60 = 62125
	ZIP.61 = 10425
	ZIP.62 = 32204
	ZIP.63 = 41139
	ZIP.64 = 79545
	ZIP.65 = 40734
	ZIP.66 = 58214
	ZIP.67 = 81618
	ZIP.68 = 77136
	ZIP.69 = 87459
	ZIP.70 = 74931
	ZIP.71 = 44128
	ZIP.72 = 28788
	ZIP.73 = 13768
	ZIP.74 = 42975
	ZIP.75 = 54225
	ZIP.76 = 23142
	ZIP.77 = 98293
	ZIP.78 = 93675
	ZIP.79 = 12301
	ZIP.80 = 31813
	ZIP.81 = 55954
	ZIP.82 = 81581
	ZIP.83 = 28608
	ZIP.84 = 12138
	ZIP.85 = 62878
	ZIP.86 = 33508
	ZIP.87 = 83832
	ZIP.88 = 83585
	ZIP.89 = 95172
	ZIP.90 = 53489
	ZIP.91 = 57870
	ZIP.92 = 66750
	ZIP.93 = 20265
	ZIP.94 = 42096
	ZIP.95 = 22014
	ZIP.96 = 92168
	ZIP.97 = 46211
	ZIP.98 = 25748
	ZIP.99 = 63049
	ZIP.100 = 98827
	ZIP.101 = 89784
	ZIP.102 = 59532
	ZIP.103 = 76967
	ZIP.104 = 70147
	ZIP.105 = 13738
	ZIP.106 = 97662
	ZIP.107 = 62081
	ZIP.108 = 47318
	ZIP.109 = 30828
	ZIP.110 = 13408
	ZIP.111 = 25410
	ZIP.112 = 33317
	ZIP.113 = 42808
	ZIP.114 = 46687
	ZIP.115 = 43941
	ZIP.116 = 71211
	ZIP.117 = 46364
	ZIP.118 = 34851
	ZIP.119 = 54884
	ZIP.120 = 99984
	ZIP.121 = 78449
	ZIP.122 = 37405
	ZIP.123 = 93822
	ZIP.124 = 73495
	ZIP.125 = 21566
	ZIP.126 = 87151
	ZIP.127 = 13605
	ZIP.128 = 14233
	ZIP.129 = 56444
	ZIP.130 = 49512
	ZIP.131 = 16789
	ZIP.132 = 75595
	ZIP.133 = 21743
	ZIP.134 = 85088
	ZIP.135 = 35197
	ZIP.136 = 86177
	ZIP.137 = 46844
	ZIP.138 = 87261
	ZIP.139 = 79484
	ZIP.140 = 29344
	ZIP.141 = 13880
	ZIP.142 = 47082
	ZIP.143 = 17857
	ZIP.144 = 77744
	ZIP.145 = 52745
	ZIP.146 = 10835
	ZIP.147 = 22044
	ZIP.148 = 74998
	ZIP.149 = 42027
	ZIP.150 = 77011
	ZIP.151 = 26611
	ZIP.152 = 52552
	ZIP.153 = 86100
	ZIP.154 = 10607
	ZIP.155 = 11259
	ZIP.156 = 18963
	ZIP.157 = 55712
	ZIP.158 = 48211
	ZIP.159 = 15963
	ZIP.160 = 31194
	ZIP.161 = 44286
	ZIP.162 = 92020
	ZIP.163 = 39550
	ZIP.164 = 70195
	ZIP.165 = 18451
	ZIP.166 = 54431
	ZIP.167 = 44384
	ZIP.168 = 82907
	ZIP.169 = 32109
	ZIP.170 = 28207
	ZIP.171 = 93798
	ZIP.172 = 61460
	ZIP.173 = 99735
	ZIP.174 = 12345
	ZIP.175 = 25166
	ZIP.176 = 62311
	ZIP.177 = 47268
	ZIP.178 = 55128
	ZIP.179 = 19081
	ZIP.180 = 11421
	ZIP.181 = 29782
	ZIP.182 = 92832
	ZIP.183 = 31218
	ZIP.184 = 28390
	ZIP.185 = 34690
	ZIP.186 = 85841
	ZIP.187 = 35854
	ZIP.188 = 71524
	ZIP.189 = 43004
	ZIP.190 = 32751
	ZIP.191 = 69262
